Club,Ticker,Country,Currency,Index
AIK,AIK-B.ST,Sweden,SEK,^OMX
Aalborg,AAB.CO,Denmark,DKK,^OMXC25
AGF Aarhus,AGF-B.CO,Denmark,DKK,^OMXC25
FC Copenhagen,PARKEN.CO,Denmark,DKK,^OMXC25
Bröndby,BIF.CO,Denmark,DKK,^OMXC25
Manchester United,MANU,England,USD,^DJUS
Celtic,CCP.L,Scotland,GBP,^FTSE
Borussia Dortmund,BVB.DE,Germany,EUR,^GDAXI
Ajax,AJAX.AS,Netherlands,EUR,^AEX
Juventus,JUVE.MI,Italy,EUR,FTSEMIB.MI
AS Roma,ASR?,Italy,
Lazio,SSL.MI,Italy,EUR,FTSEMIB.MI
Porto,FCP.LS,Portugal,EUR,PSI20.LS
Benfica,SLBEN.LS,Portugal,EUR,PSI20.LS
Sporting Lissabon,SCP.LS,Portugal,EUR,PSI20.LS
Fenerbahce,FENER.IS,Turkey,TRY,XU100.IS
Galatasaray,GSRAY.IS,Turkey,TRY,XU100.IS
Besiktas,BJKAS.IS,Turkey,TRY,XU100.IS
Trabzonspor,TSPOR.IS,Turkey,TRY,XU100.IS
